Incident-Exp#,Alarm Date,Alarm Time,Location and Incident type
17-0007329-000,12/01/2017,09:26:39,"S First ST CH/UI#123 100 Fire, Other"
20-0007562-000,11/20/2020,10:09:43,"Flora CT CH/Champaign, 113 Cooking fire, confined to co"
18-0004743-000,07/27/2018,23:12:42,Flora DR CH/Champaign 111 Building fire
16-0005923-000,10/07/2016,03:17:29,"N Fourth ST CH/#1 114 Chimney or flue fire, confin"
20-0008173-000,12/16/2020,18:54:20,"N Fourth ST CH/EDDIE 113 Cooking fire, confined to co"
19-0003965-000,06/24/2019,21:06:28,"S Fourth ST CH/MHM Pr 113 Cooking fire, confined to co"
16-0006461-000,10/30/2016,23:50:34,"S Fourth ST CH/310 113 Cooking fire, confined to co"
19-0006827-000,10/19/2019,21:58:31,"S Fourth ST CH/BANKIE 113 Cooking fire, confined to co"
19-0008256-000,12/14/2019,12:30:45,S Fourth ST CH/506 S. 111 Building fire
17-0006269-000,10/16/2017,21:40:31,"S Fourth ST CH/212 113 Cooking fire, confined to co"
20-0007867-000,12/03/2020,03:02:33,S Fourth ST CH/707 S 111 Building fire
19-0005751-000,09/08/2019,20:13:54,"S Fourth ST CH/707 S 113 Cooking fire, confined to co"
18-0001350-000,02/24/2018,06:16:02,"S Fourth ST CH 100 Fire, Other"
18-0005683-000,09/05/2018,17:51:11,"S Fourth ST CH/Unive 113 Cooking fire, confined to co"
19-0001534-000,03/07/2019,07:48:59,"S Fourth ST CH/Taft 113 Cooking fire, confined to co"
19-0003540-000,06/04/2019,13:30:59,Foxwell CT CH 111 Building fire
19-0003540-001,06/04/2019,13:30:59,Foxwell CT CH 111 Building fire
19-0003540-002,06/04/2019,13:30:59,Foxwell CT CH 111 Building fire
19-0008627-000,12/31/2019,18:15:52,Francis DR CH/4/Cham 111 Building fire
18-0001887-000,03/19/2018,14:48:37,Frank DR CH/Champaign 111 Building fire
17-0000673-000,02/02/2017,00:53:41,Frank DR CH/Champaig 111 Building fire
18-0006754-000,10/20/2018,16:28:52,"Frederick ST CH/Cham 100 Fire, Other"
16-0002673-000,05/11/2016,02:29:22,"1/2 Garfield AVE CH/C 113 Cooking fire, confined to co"
16-0002490-000,05/01/2016,19:17:55,Gentry Square LA CH 111 Building fire
20-0004720-000,07/29/2020,21:22:47,"Georgetown DR CH/Dev 113 Cooking fire, confined to co"
18-0003449-000,05/26/2018,00:09:57,"Gerty DR CH/IFSI - Cla 100 Fire, Other"
20-0007805-000,11/30/2020,19:06:05,"Gingerbend DR CH/207/ 113 Cooking fire, confined to co"
19-0004162-000,07/02/2019,19:07:36,"Grandview DR CH 113 Cooking fire, confined to co"
20-0007212-000,11/07/2020,00:40:19,"E Green ST CH 113 Cooking fire, confined to co"
19-0002493-000,04/20/2019,13:40:52,E Green ST CH/212 E. 111 Building fire
20-0003543-000,06/10/2020,08:04:49,"E Green ST CH/212 E. 113 Cooking fire, confined to co"
18-0004740-000,07/27/2018,21:07:52,"E Green ST CH/212 E. 113 Cooking fire, confined to co"
18-0000525-000,01/19/2018,23:32:36,E Green ST CH 111 Building fire
17-0006519-000,10/27/2017,03:55:07,"E Green ST CH 113 Cooking fire, confined to co"
16-0000576-000,01/29/2016,10:15:37,"E Green ST CH/Papa D' 114 Chimney or flue fire, confin"
19-0004336-000,07/10/2019,14:09:12,"E Green ST CH/Milk Te 100 Fire, Other"
16-0004861-000,08/22/2016,23:29:48,E Green ST CH/Dave's 111 Building fire
17-0006273-000,10/17/2017,04:12:20,"E Green ST CH/Bankier 113 Cooking fire, confined to co"
20-0006667-000,10/15/2020,17:25:06,"E Green ST CH/Bankier 113 Cooking fire, confined to co"
16-0004596-000,08/11/2016,14:28:53,W Green ST CH 111 Building fire
16-0002225-000,04/19/2016,09:13:05,W Green ST CH/Champa 111 Building fire
20-0002375-000,04/12/2020,20:00:44,"Greencroft DR CH/Champ 113 Cooking fire, confined to co"
19-0004009-000,06/26/2019,18:13:50,"Greencroft DR CH/Champ 113 Cooking fire, confined to co"
19-0000370-000,01/17/2019,23:16:09,"Gregory DR CH/Nugent 113 Cooking fire, confined to co"
17-0000990-001,02/18/2017,09:34:45,Grove ST CH 111 Building fire
17-0000990-000,02/18/2017,09:34:45,Grove ST CH 111 Building fire
17-0000990-002,02/18/2017,09:34:45,Grove ST CH 111 Building fire
17-0000990-003,02/18/2017,09:34:45,Grove ST CH 111 Building fire
17-0007538-000,12/08/2017,19:17:20,Hanover CT CH/A/Champai 111 Building fire
17-0001478-000,03/14/2017,19:58:52,"Harbor Estates LN /2 113 Cooking fire, confined to co"
20-0008362-000,12/25/2020,21:03:03,Harrington DR CH/Cha 111 Building fire
18-0007673-000,11/29/2018,10:50:28,Harris AVE CH 111 Building fire
19-0007806-000,11/25/2019,15:21:04,"Harvard ST CH/Champa 113 Cooking fire, confined to co"
19-0004079-000,06/29/2019,17:03:54,Hathaway DR CH/Champ 111 Building fire
18-0004571-000,07/18/2018,14:50:18,"Hazelwood DR CH/UI#109 100 Fire, Other"
17-0003426-000,06/12/2017,21:43:06,E Healey ST CH/56 E. H 111 Building fire
16-0001231-000,03/01/2016,02:56:09,"E Healey ST CH 100 Fire, Other"
19-0000773-000,02/01/2019,10:46:14,"E Healey ST CH/108 E. 113 Cooking fire, confined to co"
19-0003073-000,05/14/2019,18:45:43,"E Healey ST CH/307 113 Cooking fire, confined to co"
16-0005115-000,09/03/2016,11:06:11,"E Healey ST CH/12 100 Fire, Other"
16-0002549-000,05/04/2016,21:19:14,"E Healey ST CH/Healey 113 Cooking fire, confined to co"
16-0006088-000,10/15/2016,17:10:22,E Healey ST CH/Healey 111 Building fire
16-0006407-000,10/29/2016,03:23:32,"E Healey ST CH/Healey 113 Cooking fire, confined to co"
19-0000055-000,01/03/2019,19:25:11,"E Healey ST CH 113 Cooking fire, confined to co"
16-0007799-000,12/25/2016,01:14:19,W Healey ST CH/8 111 Building fire
20-0006812-000,10/21/2020,19:09:33,W Healey ST CH 111 Building fire
16-0007632-000,12/18/2016,18:32:37,"Hedge CT CH/Champaign, 100 Fire, Other"
16-0007201-000,12/01/2016,21:04:34,Hedge RD CH/Champaig 111 Building fire
20-0006445-000,10/07/2020,22:10:52,Hedge RD CH 111 Building fire
20-0006456-000,10/08/2020,08:18:34,Hedge RD CH/Champaig 111 Building fire
17-0002855-000,05/18/2017,08:29:17,Hedge RD CH/Champaig 111 Building fire
20-0005707-000,09/07/2020,14:31:39,Hedge RD CH/Champaig 111 Building fire
19-0006805-000,10/19/2019,00:25:53,Henry ST CH/Champaig 111 Building fire
18-0004836-000,08/02/2018,01:32:00,"Henry ST CH/8/Champa 113 Cooking fire, confined to co"
20-0003071-000,05/19/2020,16:53:21,Henry ST CH/1727 Hen 111 Building fire
19-0004224-000,07/05/2019,00:43:15,"Highview CT CH 118 Trash or rubbish fire, conta"
17-0005088-000,08/28/2017,12:09:13,E Hill ST CH 111 Building fire
16-0006628-000,11/07/2016,02:43:45,"W Hill ST CH/George A 113 Cooking fire, confined to co"
19-0001685-000,03/13/2019,14:03:48,W Hill ST CH 111 Building fire
16-0005977-000,10/09/2016,17:03:47,"W Hill ST CH 113 Cooking fire, confined to co"
18-0004317-000,07/06/2018,19:53:18,"W Hill ST CH 100 Fire, Other"
17-0002293-000,04/23/2017,03:25:54,W Hill ST CH/Champai 111 Building fire
19-0004926-000,08/06/2019,14:00:37,Holiday DR CH/Champai 111 Building fire
19-0003519-000,06/03/2019,16:04:47,Holly Hill DR CH 111 Building fire
17-0006217-000,10/14/2017,13:10:32,Holly Hill DR CH/Cha 111 Building fire
18-0007453-000,11/18/2018,17:41:08,"Holly Hill DR CH/Cha 113 Cooking fire, confined to co"
19-0007759-000,11/23/2019,21:59:57,"Holly Hill DR CH/Cha 113 Cooking fire, confined to co"
17-0000112-000,01/06/2017,04:46:54,"Hollycrest DR CH/1/Ch 113 Cooking fire, confined to co"
18-0007419-000,11/17/2018,00:22:49,"Hollycrest DR CH/1/Ch 113 Cooking fire, confined to co"
19-0001074-000,02/14/2019,01:20:12,Hollycrest DR CH/5/Ch 111 Building fire
20-0002444-000,04/16/2020,20:22:48,"Hollycrest DR CH/3/Ch 113 Cooking fire, confined to co"
20-0006397-000,10/06/2020,00:17:20,"Hollycrest DR CH/1/Ch 100 Fire, Other"
19-0007772-000,11/24/2019,10:29:48,"Hunters Pond RUN CH 113 Cooking fire, confined to co"
16-0000523-000,01/26/2016,18:47:58,"Hunters Pond RUN CH/ 113 Cooking fire, confined to co"
16-0005783-000,09/30/2016,23:25:14,"Hunters Pond RUN CH/ 113 Cooking fire, confined to co"
20-0007970-000,12/06/2020,23:03:28,"Hunters Pond RUN CH/ 113 Cooking fire, confined to co"
19-0004010-000,06/26/2019,18:15:02,"I-57 MM 236 INST CH/Ch 100 Fire, Other"
18-0006717-000,10/18/2018,12:37:02,"JT Coffman DR CH/Cha 113 Cooking fire, confined to co"
19-0003780-000,06/15/2019,15:57:47,"N James ST CH 113 Cooking fire, confined to co"
17-0007554-000,12/10/2017,01:57:15,"Jeanne ST CH/Champai 113 Cooking fire, confined to co"
17-0005853-000,09/29/2017,13:29:28,"Jeanne ST CH/Champai 113 Cooking fire, confined to co"
19-0001415-000,03/01/2019,22:33:19,Joanne LN CH/Champai 111 Building fire
17-0007470-000,12/06/2017,12:46:21,"Joanne LN CH/Champai 113 Cooking fire, confined to co"
19-0004012-000,06/26/2019,19:57:37,Joanne LN CH/Champai 111 Building fire
19-0004016-000,06/27/2019,01:29:05,Joanne LN CH/Champai 111 Building fire
16-0004541-000,08/09/2016,10:52:57,"E John ST CH/48 E. Joh 113 Cooking fire, confined to co"
20-0004476-000,07/19/2020,17:51:25,"E John ST CH/Maywood A 113 Cooking fire, confined to co"
16-0001594-000,03/18/2016,11:54:07,E John ST CH 111 Building fire
17-0000458-000,01/20/2017,20:04:31,"E John ST CH/26 113 Cooking fire, confined to co"
20-0005276-000,08/21/2020,07:46:05,"E John ST CH/Gabe's P 100 Fire, Other"
18-0005495-000,08/29/2018,15:47:04,E John ST CH/Gabe's P 112 Fires in structure other tha
19-0000068-000,01/04/2019,08:11:51,"E John ST CH/Vacant; 113 Cooking fire, confined to co"
17-0006625-000,10/29/2017,20:36:08,"E John ST CH/business 113 Cooking fire, confined to co"
17-0001720-000,03/26/2017,04:37:38,"E John ST CH/business 118 Trash or rubbish fire, conta"
16-0002969-000,05/25/2016,13:01:07,"E John ST CH/business 113 Cooking fire, confined to co"
17-0002306-000,04/23/2017,19:32:59,"E John ST CH 113 Cooking fire, confined to co"
17-0007660-000,12/14/2017,14:56:08,"E John ST CH/ROLAND R 113 Cooking fire, confined to co"
19-0000772-000,02/01/2019,10:16:57,"E John ST CH/Presby H 113 Cooking fire, confined to co"
19-0000058-000,01/03/2019,20:18:41,"E John ST CH/Presby H 113 Cooking fire, confined to co"
20-0001455-000,03/02/2020,11:59:18,"E John ST CH 113 Cooking fire, confined to co"
20-0000640-000,01/28/2020,18:45:26,"E John ST CH/Presby H 113 Cooking fire, confined to co"
17-0006863-000,11/09/2017,09:42:04,"E John ST CH/Presby H 113 Cooking fire, confined to co"
17-0006373-000,10/21/2017,12:23:20,"E John ST CH/Presby H 113 Cooking fire, confined to co"
17-0003813-000,07/01/2017,10:25:36,"E John ST CH 113 Cooking fire, confined to co"
16-0000236-000,01/13/2016,16:09:06,"E John ST CH/Presby H 113 Cooking fire, confined to co"
16-0005375-000,09/13/2016,17:09:35,"E John ST CH 113 Cooking fire, confined to co"
16-0006065-000,10/14/2016,01:41:57,"E John ST CH/Presby H 113 Cooking fire, confined to co"
16-0006366-000,10/27/2016,15:42:48,"E John ST CH/Presby H 113 Cooking fire, confined to co"
16-0006386-000,10/28/2016,14:50:42,"E John ST CH/Presby H 113 Cooking fire, confined to co"
20-0005894-000,09/15/2020,15:28:20,"E John ST CH/Presby H 113 Cooking fire, confined to co"
20-0004716-000,07/29/2020,13:47:51,"E John ST CH/Presby H 113 Cooking fire, confined to co"
20-0004848-000,08/04/2020,19:05:53,"E John ST CH/Presby H 113 Cooking fire, confined to co"
19-0005365-000,08/24/2019,18:36:19,"E John ST CH/Illini L 113 Cooking fire, confined to co"
16-0001674-000,03/22/2016,22:11:08,E John ST CH/107 111 Building fire
16-0000121-000,01/07/2016,17:47:45,"W John ST CH/3 113 Cooking fire, confined to co"
18-0004815-000,07/31/2018,20:10:41,W John ST CH/2 111 Building fire
17-0006197-000,10/13/2017,19:22:33,"W John ST CH 113 Cooking fire, confined to co"
17-0001112-000,02/24/2017,17:56:17,"W John ST CH/Tanner 113 Cooking fire, confined to co"
17-0007985-000,12/30/2017,06:28:47,"W John ST CH/Westbur 100 Fire, Other"
17-0000293-000,01/13/2017,13:08:34,W John ST CH/RoundBa 111 Building fire
19-0002278-000,04/10/2019,05:02:17,W John ST CH/RoundBa 111 Building fire
20-0001285-000,02/24/2020,16:05:48,W John ST CH 111 Building fire
16-0001290-000,03/03/2016,23:12:40,"W John ST CH/Victori 113 Cooking fire, confined to co"
20-0004934-000,08/08/2020,05:48:59,"W John ST CH/Champai 100 Fire, Other"
16-0000868-000,02/11/2016,12:18:30,"Judith DR CH/Champai 113 Cooking fire, confined to co"
17-0005575-000,09/18/2017,17:16:32,Karen CT CH/Champaig 111 Building fire
16-0001470-000,03/12/2016,17:09:44,"Kenwood RD CH/Gramercy 113 Cooking fire, confined to co"
